Left,Right
Wisconsin Lutheran Warriors,Green Bay Phoenix
Saint Francis U Red Flash,Buffalo Bulls
Rochester (MI) Warriors,Eastern Michigan Eagles
Kentucky Christian Knights,Morehead State Eagles
Johnson & Wales (CO) Wildcats,Air Force Falcons
Cedarville Yellow Jackets,Akron Zips
Mars Hill Lions,Appalachian State Mountaineers
Marist Red Foxes,Army West Point Black Knights
Arlington Baptist Patriots,Abilene Christian Wildcats
Indiana State Sycamores,Ball State Cardinals
Tiffin Dragons,Bowling Green Falcons
Concordia (MI) Cardinals,Central Michigan Chippewas
Presbyterian Blue Hose,Charleston Cougars
Newbury Nighthawks,Dartmouth Big Green
Cleveland State Vikings,Davidson Wildcats
City College of New York Beavers,Fordham Rams
Bob Jones University Bruins,Furman Paladins
Stony Brook Seawolves,George Washington Colonials
Penn Quakers,George Mason Patriots
East Tennessee State Buccaneers,Georgia State Panthers
Central Connecticut State Blue Devils,Hartford Hawks
MIT Engineers,Harvard Crimson
FGCU Eagles,Illinois State Redbirds
Florida A&M Rattlers,Jacksonville Dolphins
Eastern Mennonite Royals,James Madison Dukes
Michigan State Spartans,Kansas Jayhawks
College of New Rochelle Blue Angels,LIU Brooklyn Blackbirds
Rivier Raiders,New Hampshire Wildcats
Davis & Elkins Senators,Radford Highlanders
Bryant Bulldogs,Rhode Island Rams
Brevard College Tornados,South Carolina State Bulldogs
Gardner-Webb Runnin' Bulldogs,VCU Rams
Washington College Shoremen,VMI Keydets
Detroit Titans,Western Michigan Broncos
Mid-Atlantic Christian Mustangs,Hampton Pirates
Colgate Raiders,NJIT Highlanders
Randolph College Wildcats,Longwood Lancers
Wilmington (OH) Quakers,Northern Kentucky Norse
Sacred Heart Pioneers,Holy Cross Crusaders
UNCW Seahawks,Campbell Fighting Camels
Ferrum Panthers,Coastal Carolina Chanticleers
Delaware Fightin' Blue Hens,Maryland Terrapins
Massachusetts-Lowell River Hawks,Massachusetts Minutemen
UNCG Spartans,North Carolina A&T Aggies
East Texas Baptist Tigers,Sam Houston State Bearkats
North Alabama Lions,Samford Bulldogs
Texas Wesleyan Rams,Stephen F. Austin Lumberjacks
UIW Cardinals,Texas Tech Red Raiders
Oakland City Mighty Oaks,Austin Peay Governors
Louisiana-Monroe Warhawks,Jackson State Tigers
Huston-Tillotson Rams,Lamar Cardinals
Westcliff Warriors,Loyola Marymount Lions
Mississippi College Choctaws,Nicholls Colonels
Boston University Terriers,Northeastern Huskies
Rockford University Regents,Northern Illinois Huskies
Bemidji State Beavers,UNI Panthers
Southeast Missouri State Redhawks,Saint Louis Billikens
Oral Roberts Golden Eagles,Missouri State Bears
Texas-Tyler Patriots,UT Arlington Mavericks
Fort Valley State Wildcats,Troy Trojans
Texas A&M-Commerce Lions,UT Rio Grande Valley Vaqueros
Concordia University (IL) Cougars,Valparaiso Crusaders
Pacific Tigers,SIUE Cougars
Northland LumberJacks,North Dakota Fighting Hawks
Cornell Big Red,Binghamton Bearcats
Grand Canyon Antelopes,South Dakota State Jackrabbits
Univ. of the Virgin Islands Buccaneers,Louisiana Ragin' Cajuns
Sewanee Tigers,Lipscomb Bisons
Columbia International Rams,Charleston Southern Buccaneers
Elon Phoenix,Manhattan Jaspers
Lehigh Mountain Hawks,Monmouth Hawks
West Coast Baptist Eagles,Southern Utah Thunderbirds
Maine Black Bears,Denver Pioneers
UMKC Kangaroos,Loyola Chicago Ramblers
Utah State Aggies,Montana State Bobcats
Centenary Gentlemen,Northwestern State Demons
Westminster (UT) Griffins,Utah Valley Wolverines
Spring Hill Badgers,New Orleans Privateers
Cumberland University Phoenix,UT Martin Skyhawks
North Dakota State Bison,New Mexico State Aggies
Duke Blue Devils,Kentucky Wildcats
San Francisco Dons,UC Davis Aggies
Idaho Vandals,UC Irvine Anteaters
Alaska-Anchorage Seawolves,Fresno State Bulldogs
New Mexico Lobos,CSUN Matadors
Multnomah Lions,Portland Pilots
Weber State Wildcats,San Diego Toreros
UAPB Golden Lions,San Diego State Aztecs
UC Santa Barbara Gauchos,Wyoming Cowboys
Ohio State Buckeyes,Cincinnati Bearcats
North Florida Ospreys,Dayton Flyers
Carver College Cougars,Georgia Southern Eagles
Washington Adventist Shock,Howard Bison
Wilberforce Bulldogs,Ohio Bobcats
Bucknell Bison,St. Bonaventure Bonnies
Medgar Evers Cougars,St. Francis Brooklyn Terriers
Lafayette Leopards,Saint Peter's Peacocks
Johnson (FL) Suns,Stetson Hatters
High Point Panthers,William & Mary Tribe
Western Carolina Catamounts,Wright State Raiders
Wisconsin-Parkside Rangers,Bradley Braves
Howard Payne Yellow Jackets,Texas A&M-Corpus Christi Islanders
York (NE) Panthers,South Dakota Coyotes
Oglethorpe Stormy Petrels,Kennesaw State Owls
Colorado Christian Cougars,Colorado State Rams
Menlo Oaks,Cal Poly Mustangs
Cal State-Dominguez Hills Toros,Pepperdine Waves
Life Pacific Warriors,San Jose State Spartans
McNeese State Cowboys,Saint Mary's Gaels
SUNY-Canton Roos,Cornell Big Red
Hiwassee College Tigers,East Tennessee State Buccaneers
Siena Saints,George Washington Colonials
Maine-Fort Kent Bengals,Liberty Flames
Nicholls Colonels,Louisville Cardinals
St. Andrews Presbyterian Knights,UNC Asheville Bulldogs
Earlham Quakers,Purdue Fort Wayne Mastodons
Mid-Atlantic Christian Mustangs,Norfolk State Spartans
Southeastern University Fire,FGCU Eagles
Southeastern Oklahoma State Savage Storm,Little Rock Trojans
Southwestern Assemblies of God Lions,Stephen F. Austin Lumberjacks
Buena Vista Beavers,Drake Bulldogs
Southwestern University Pirates,Sam Houston State Bearkats
Hendrix College Warriors,Central Arkansas Bears
Alabama State Hornets,South Dakota State Jackrabbits
Puget Sound Loggers,Seattle Redhawks
Drexel Dragons,Eastern Michigan Eagles
Buena Vista Beavers,Omaha Mavericks
Antelope Valley Pioneers,Bakersfield Roadrunners
Indiana State Sycamores,Green Bay Phoenix
Vermont Catamounts,Boston University Terriers
Chicago State Cougars,Central Michigan Chippewas
North Carolina Central Eagles,Clemson Tigers
Monmouth Hawks,Colgate Raiders
Dartmouth Big Green,Davidson Wildcats
American University Eagles,George Mason Patriots
Northeastern Huskies,Harvard Crimson
New Hampshire Wildcats,Massachusetts Minutemen
Piedmont Lions,Mercer Bears
Lehigh Mountain Hawks,Miami (FL) Hurricanes
Northern Kentucky Norse,Northern Illinois Huskies
Toledo Rockets,Oakland Golden Grizzlies
DeSales Bulldogs,Princeton Tigers
Longwood Lancers,Richmond Spiders
Morgan State Bears,Saint Francis U Red Flash
Arkansas Razorbacks,Texas Longhorns
Hampton Pirates,VCU Rams
Coastal Carolina Chanticleers,Campbell Fighting Camels
Lamar Cardinals,Georgia Tech Yellow Jackets
Brown Bears,LIU Brooklyn Blackbirds
Austin Peay Governors,Mississippi State Bulldogs
Jacksonville State Gamecocks,Samford Bulldogs
Mount St. Mary's Mountaineers,Hofstra Pride
Blue Mountain College Toppers,Alcorn State Braves
Furman Paladins,Loyola Chicago Ramblers
Southwestern Moundbuilders,Oral Roberts Golden Eagles
William Carey Crusaders,Southeastern Louisiana Lions
Robert Morris Colonials,Missouri State Bears
Air Force Falcons,Texas State Bobcats
Our Lady of the Lake Saints,Texas A&M-Corpus Christi Islanders
NJIT Highlanders,Binghamton Bearcats
St. Francis (IL) Fighting Saints,UIW Cardinals
Albany Great Danes,Iona Gaels
Jarvis Christian Bulldogs,Grambling State Tigers
Georgia State Panthers,Montana Grizzlies
UTEP Miners,New Mexico State Aggies
Colorado College Tigers,Northern Colorado Bears
UIC Flames,Radford Highlanders
Mississippi Valley State Delta Devils,Texas Tech Red Raiders
Hartford Hawks,Utah State Aggies
Arkansas State Red Wolves,Abilene Christian Wildcats
Bethesda Flames,Weber State Wildcats
Utah Valley Wolverines,BYU Cougars
San Diego Toreros,UC Davis Aggies
Prairie View A&M Panthers,Santa Clara Broncos
San Diego Christian Hawks,California Baptist Lancers
Simpson University (CA) Red Hawks,Sacramento State Hornets
Portland Pilots,Hawaii Rainbow Warriors
Charleston Cougars,Western Carolina Catamounts
Tuskegee Golden Tigers,Florida A&M Rattlers
Shenandoah Hornets,UMBC Retrievers
Millsaps Majors,Louisiana-Monroe Warhawks
Eastern Illinois Panthers,IUPUI Jaguars
Wagner Seahawks,Massachusetts-Lowell River Hawks
Southeast Missouri State Redhawks,Bradley Braves
Jacksonville Dolphins,Northern Arizona Lumberjacks
Jackson State Tigers,St. Bonaventure Bonnies
North Carolina A&T Aggies,Wake Forest Demon Deacons
Wofford Terriers,High Point Panthers
Lafayette Leopards,La Salle Explorers
North Park Vikings,Western Illinois Leathernecks
UAPB Golden Lions,Colorado State Rams
Brevard College Tornados,USC Upstate Spartans
Tennessee State Tigers,Lipscomb Bisons
Youngstown State Penguins,Akron Zips
William & Mary Tribe,Duquesne Dukes
West Coast Baptist Eagles,Cal State Fullerton Titans
Maine Black Bears,San Francisco Dons
Bemidji State Beavers,South Dakota State Jackrabbits
Delaware Fightin' Blue Hens,Saint Peter's Peacocks
Fairfield Stags,Bucknell Bison
Coppin State Eagles,Dayton Flyers
Menlo Oaks,Long Beach State 49ers
Columbia Lions,Marist Red Foxes
Eastern Kentucky Colonels,Chattanooga Mocs
Presbyterian Blue Hose,Tennessee Tech Golden Eagles
Wilberforce Bulldogs,Toledo Rockets
North Dakota Fighting Hawks,Milwaukee Panthers
Clarion Golden Eagles,Norfolk State Spartans
Kent State Golden Flashes,Cleveland State Vikings
Holy Cross Crusaders,Michigan Wolverines
Illinois State Redbirds,Belmont Bruins
Fordham Rams,Houston Baptist Huskies
Wright State Raiders,Murray State Racers
Troy Trojans,Saint Louis Billikens
UNI Panthers,UT Arlington Mavericks
Winthrop Eagles,SIUE Cougars
Texas-Tyler Patriots,UIW Cardinals
Idaho State Bengals,Boise State Broncos
Delaware State Hornets,Grand Canyon Antelopes
Southern Utah Thunderbirds,San Jose State Spartans
Blue Mountain College Toppers,North Alabama Lions
Loyola Marymount Lions,UNLV Runnin' Rebels
CSUN Matadors,Pepperdine Waves
UC Riverside Highlanders,Portland State Vikings
Humboldt State Lumberjacks,Hawaii Rainbow Warriors
St. Francis Brooklyn Terriers,Boston College Eagles
Emerson Lions,Boston University Terriers
Colgate Raiders,Cornell Big Red
Goucher Gophers,VMI Keydets
Goshen Maple Leafs,Eastern Michigan Eagles
Brown Bears,NJIT Highlanders
UC Santa Barbara Gauchos,North Dakota State Bison
Drexel Dragons,Rutgers Scarlet Knights
Central Pennsylvania College Knights,Howard Bison
Stetson Hatters,Missouri State Bears
Middle Georgia State Knights,Savannah State Tigers
Wesley College Wolverines,Towson Tigers
Dartmouth Big Green,Loyola Maryland Greyhounds
Huntingdon Hawks,South Alabama Jaguars
Wabash Little Giants,Northern Kentucky Norse
LaGrange Panthers,Alabama State Hornets
Utah Valley Wolverines,Saint Mary's Gaels
Presentation Saints,Montana State Bobcats
Bryant Bulldogs,Seattle Redhawks
Mount Saint Vincent Dolphins,New Hampshire Wildcats
Mid-Atlantic Christian Mustangs,Citadel Bulldogs
Bridgewater (VA) Eagles,James Madison Dukes
North Carolina A&T Aggies,Maryland Terrapins
Manhattan Jaspers,UMBC Retrievers
Midway Eagles,Miami (OH) RedHawks
St. Bonaventure Bonnies,Niagara Purple Eagles
Campbell Fighting Camels,Ohio Bobcats
Welch Flames,Presbyterian Blue Hose
Austin Peay Governors,South Florida Bulls
Monmouth Hawks,Saint Joseph's Hawks
Bowling Green Falcons,VCU Rams
Heidelberg Student Princes,Youngstown State Penguins
Misericordia Cougars,Binghamton Bearcats
Kennesaw State Owls,Samford Bulldogs
Quincy Hawks,Southeast Missouri State Redhawks
Western New England Golden Bears,Sacred Heart Pioneers
UIC Flames,Duquesne Dukes
Pensacola Christian College Eagles,New Orleans Privateers
UT Rio Grande Valley Vaqueros,Texas A&M-Corpus Christi Islanders
University of the Ozarks Eagles,Central Arkansas Bears
Northern Arizona Lumberjacks,South Dakota Coyotes
Texas Lutheran Bulldogs,UIW Cardinals
Missouri Baptist Spartans,Arkansas State Red Wolves
Jacksonville Dolphins,Grand Canyon Antelopes
Montana Tech Orediggers,Montana Grizzlies
Life Pacific Warriors,UC Irvine Anteaters
Sonoma State Seawolves,San Francisco Dons
Trinity Baptist Eagles,Bethune-Cookman Wildcats
Canisius Golden Griffins,Bucknell Bison
Massachusetts-Lowell River Hawks,Central Connecticut State Blue Devils
Rhode Island Rams,Charleston Cougars
Urbana Blue Knights,Cleveland State Vikings
Elms College Blazers,Dartmouth Big Green
Chestnut Hill Griffins,Delaware Fightin' Blue Hens
Midway Eagles,Eastern Kentucky Colonels
Gardner-Webb Runnin' Bulldogs,Furman Paladins
George Mason Patriots,Georgia Southern Eagles
Mercer Bears,Georgia State Panthers
Regent Royals,Howard Bison
Shawnee State Bears,Kent State Golden Flashes
Marist Red Foxes,Lehigh Mountain Hawks
Delaware State Hornets,Loyola Maryland Greyhounds
Harvard Crimson,Massachusetts Minutemen
Longwood Lancers,Maryland Eastern Shore Hawks
Stephen F. Austin Lumberjacks,Miami (FL) Hurricanes
UNCG Spartans,UNCW Seahawks
Western Michigan Broncos,Oakland Golden Grizzlies
Lafayette Leopards,Penn Quakers
Hardin-Simmons Cowboys,Texas State Bobcats
Cumberland University Phoenix,Chattanooga Mocs
SUNY-Cortland Red Dragons,Wagner Seahawks
Pfeiffer Falcons,Winthrop Eagles
Carver College Cougars,Wofford Terriers
Manchester Spartans,Purdue Fort Wayne Mastodons
Tennessee Tech Golden Eagles,Savannah State Tigers
South Carolina State Bulldogs,Charleston Southern Buccaneers
LIU Brooklyn Blackbirds,Fairfield Stags
Chicago State Cougars,Illinois State Redbirds
California Baptist Lancers,Oral Roberts Golden Eagles
North Alabama Lions,Saint Louis Billikens
Little Rock Trojans,Tennessee State Tigers
Trevecca Nazarene Trojans,Liberty Flames
Northwestern State Demons,BYU Cougars
CSUN Matadors,Loyola Marymount Lions
Iona Gaels,New Mexico Lobos
Pepperdine Waves,Northern Colorado Bears
Mississippi Valley State Delta Devils,Utah State Aggies
Nicholls Colonels,Idaho Vandals
UC Riverside Highlanders,UNLV Runnin' Rebels
Cal State-Stanislaus Warriors,Pacific Tigers
Cal Lutheran Kingsmen,UC Santa Barbara Gauchos
St. Francis Brooklyn Terriers,Richmond Spiders
Michigan Wolverines,Villanova Wildcats
Nazareth College Golden Flyers,Colgate Raiders
Johnson (FL) Suns,Citadel Bulldogs
Bryn Athyn Lions,Drexel Dragons
Queens College Knights,Fairleigh Dickinson Knights
North Carolina A&T Aggies,Hofstra Pride
McKendree Bearcats,Indiana State Sycamores
Coppin State Eagles,Navy Midshipmen
Edward Waters Tigers,North Florida Ospreys
Northern Vermont Hornets,Vermont Catamounts
USC Upstate Spartans,VMI Keydets
Toledo Rockets,Wright State Raiders
Kean Cougars,NJIT Highlanders
Saint Peter's Peacocks,Bryant Bulldogs
Mount Aloysius Mounties,Robert Morris Colonials
Miles Golden Bears,Samford Bulldogs
Boston University Terriers,Albany Great Danes
Birmingham-Southern Panthers,Alabama State Hornets
Jacksonville State Gamecocks,Bradley Braves
Niagara Purple Eagles,Loyola Chicago Ramblers
Prairie View A&M Panthers,UT Rio Grande Valley Vaqueros
Dominican (IL) Stars,Western Illinois Leathernecks
Northern Arizona Lumberjacks,Omaha Mavericks
Montana State Bobcats,Colorado State Rams
Saint Mary's Gaels,New Mexico State Aggies
Grambling State Tigers,Wyoming Cowboys
Texas Southern Tigers,San Diego State Aztecs
Boyce Bulldogs,Presbyterian Blue Hose
Bakersfield Roadrunners,Central Michigan Chippewas
Johnson (FL) Suns,Bethune-Cookman Wildcats
North Carolina Central Eagles,Bowling Green Falcons
Delaware Fightin' Blue Hens,Cornell Big Red
Kentucky Wesleyan Panthers,Evansville Aces
Milligan Buffaloes,Elon Phoenix
North Greenville Crusaders,Furman Paladins
Lincoln (PA) Lions,Morgan State Bears
Carver College Cougars,Tennessee State Tigers
Hartford Hawks,Quinnipiac Bobcats
Belmont Bruins,Lipscomb Bisons
Monmouth Hawks,West Virginia Mountaineers
William & Mary Tribe,UIC Flames
San Jose State Spartans,Weber State Wildcats
Oral Roberts Golden Eagles,BYU Cougars
Abilene Christian Wildcats,Denver Pioneers
Pacific Tigers,Idaho State Bengals
Oregon Ducks,Iowa Hawkeyes
Detroit Titans,California Golden Bears
San Diego Christian Hawks,San Diego Toreros
UC Irvine Anteaters,Santa Clara Broncos
Montana Grizzlies,UIW Cardinals
Austin Peay Governors,Central Connecticut State Blue Devils
Florida A&M Rattlers,Campbell Fighting Camels
Miami (OH) RedHawks,North Dakota State Bison
Air Force Falcons,UMBC Retrievers
Coastal Carolina Chanticleers,Manhattan Jaspers
Sacred Heart Pioneers,Army West Point Black Knights
Jacksonville Dolphins,Southeast Missouri State Redhawks
Morehead State Eagles,UMKC Kangaroos
UNI Panthers,Penn Quakers
Stony Brook Seawolves,Holy Cross Crusaders
High Point Panthers,South Dakota Coyotes
Valparaiso Crusaders,Monmouth Hawks
Chicago State Cougars,Akron Zips
New Hampshire Wildcats,American University Eagles
South Carolina State Bulldogs,Cleveland State Vikings
Purdue Fort Wayne Mastodons,Dayton Flyers
NYIT Bears,Fairleigh Dickinson Knights
Liberty Flames,Kent State Golden Flashes
Hofstra Pride,Maryland Terrapins
Howard Bison,Massachusetts Minutemen
UT Martin Skyhawks,Mercer Bears
Johnson & Wales (NC) Wildcats,UNCG Spartans
Harvard Crimson,Rhode Island Rams
IUPUI Jaguars,Richmond Spiders
Gardner-Webb Runnin' Bulldogs,Savannah State Tigers
Delaware State Hornets,Longwood Lancers
UNC Asheville Bulldogs,Northern Kentucky Norse
Massachusetts-Lowell River Hawks,Brown Bears
Loyola (LA) Wolfpack,McNeese State Cowboys
Grambling State Tigers,Loyola Chicago Ramblers
Spalding Golden Eagles,Murray State Racers
Towson Tigers,Pepperdine Waves
Texas A&M-Corpus Christi Islanders,UT Arlington Mavericks
South Dakota State Jackrabbits,FGCU Eagles
Green Bay Phoenix,Eastern Washington Eagles
Chattanooga Mocs,South Alabama Jaguars
Weber State Wildcats,Central Michigan Chippewas
Princeton Tigers,Lehigh Mountain Hawks
Norfolk State Spartans,Siena Saints
Columbia Lions,Youngstown State Penguins
Arkansas State Red Wolves,Grand Canyon Antelopes
Arizona State Sun Devils,San Francisco Dons
Utah Valley Wolverines,Utah State Aggies
Niagara Purple Eagles,Wyoming Cowboys
Cal Poly Mustangs,Sacramento State Hornets
Jackson State Tigers,Boise State Broncos
Oakland Golden Grizzlies,UNLV Runnin' Rebels
Wofford Terriers,Stanford Cardinal
UIW Cardinals,North Dakota State Bison
Radford Highlanders,Duquesne Dukes
Wagner Seahawks,Fairfield Stags
Aquinas College Saints,Western Michigan Broncos
Boston University Terriers,Eastern Michigan Eagles
East Tennessee State Buccaneers,Winthrop Eagles
Texas State Bobcats,Drake Bulldogs
Prairie View A&M Panthers,Lamar Cardinals
Illinois Tech Scarlet Hawks,Northern Illinois Huskies
North Florida Ospreys,Wright State Raiders
UC Davis Aggies,Texas A&M-Corpus Christi Islanders
Massachusetts-Lowell River Hawks,Army West Point Black Knights
Albany Great Danes,Canisius Golden Griffins
Youngstown State Penguins,Fordham Rams
Southern University Jaguars,George Mason Patriots
Drexel Dragons,La Salle Explorers
Hiwassee College Tigers,Western Carolina Catamounts
Cornell Big Red,NJIT Highlanders
Minnesota-Morris Cougars,North Dakota Fighting Hawks
Morehead State Eagles,Green Bay Phoenix
UNC Asheville Bulldogs,Coastal Carolina Chanticleers
Montana Grizzlies,Miami (OH) RedHawks
Montana State Bobcats,UC Santa Barbara Gauchos
Stetson Hatters,Southeastern Louisiana Lions
UNI Panthers,Eastern Kentucky Colonels
Chattanooga Mocs,Southeast Missouri State Redhawks
Sacred Heart Pioneers,Brown Bears
Alabama A&M Bulldogs,BYU Cougars
New Mexico State Aggies,New Mexico Lobos
San Jose State Spartans,Bakersfield Roadrunners
UMKC Kangaroos,Eastern Washington Eagles
Mississippi Valley State Delta Devils,Robert Morris Colonials
California Merced Bobcats,UC Riverside Highlanders
Manhattan Jaspers,Northern Kentucky Norse
Western Illinois Leathernecks,Eastern Illinois Panthers
